xa,ya,za,row,pitch,yaw
0.418429971,-0.551707335,0.361341123,-16.3537954,-0.4776828,0.092869713
0.427458438,-0.219607158,0.116132994,-3.363059467,0.183872568,0.01296923
0.407365416,0.217246479,-0.188864604,-0.779772527,0.098531386,-0.014251043
0.315339553,0.869420367,-0.616903668,0.811778928,-0.18752948,-0.031172658
0.209100818,1.062329555,-0.801308539,2.012483719,-0.308975573,-0.041088587
0.093096811,0.724417615,-0.699938088,-0.995056865,-0.480834592,-0.024740769
-0.098130496,0.271692849,-0.542035062,-1.252626036,-0.463893751,-0.012676878
-0.354547469,-0.478129199,-0.227132027,0.380621957,-0.22848139,6.83E-05
-0.458824888,-0.783855263,-0.008387525,0.549177372,-0.137959366,0.004467657
-0.401042019,-0.559659385,0.083022284,0.195465953,-0.155542116,-0.005266007
-0.279698511,-0.3147684,0.25565913,0.171929065,-0.084158336,-0.019942875
-0.037801396,0.147045706,0.446760726,0.122274557,0.016813185,-0.04422351
0.062162598,0.347524296,0.51861544,0.09260332,0.051873207,-0.045574254
-0.001515697,0.210344787,0.478369568,0.167117601,0.034343209,-0.020990742
-0.053145533,0.127313881,0.34228901,0.21383538,-0.024297253,0.009215912
-0.1580919,-0.030006105,0.074576201,0.263747549,-0.144810345,0.053587509
-0.155813945,-0.110374776,-0.060021271,0.277684785,-0.181988801,0.077558346
-0.018742775,-0.064993798,-0.04977393,0.23611174,-0.128892064,0.076878348
0.124170268,-0.070240983,-0.055620212,0.189873671,-0.072960925,0.075152075
0.317438192,-0.079889468,-0.014758704,0.123491868,0.020572397,0.063074326
0.387070889,-0.078081632,-0.007493037,0.068243492,0.068632646,0.049730007
0.305613497,-0.084091296,-0.050912832,0.031895367,0.058269512,0.037178309
0.192186705,-0.068270675,-0.056286132,-0.014330969,0.056972589,0.013083685
-0.003404218,-0.031982337,-0.043881603,-0.060899464,0.042579845,-0.020526742
-0.09780136,-0.000935231,-0.052021107,-0.112752117,0.050218093,-0.048152727
-0.068580656,0.028883854,-0.072084979,-0.172680749,0.089214254,-0.070410974
-0.047078209,0.068498886,-0.100005813,-0.230092294,0.124938018,-0.093582275
0.015142645,0.11405335,-0.14213953,-0.286437396,0.167986172,-0.114220133
0.019091485,0.128580915,-0.138037932,-0.271702449,0.145479301,-0.120869724
-0.053635083,0.109356509,-0.083565616,-0.176662774,0.046666599,-0.112177943
-0.115794018,0.071559003,-0.012041031,-0.034731159,-0.085425522,-0.090566386
-0.194463356,0.004641423,0.09214244,0.175502877,-0.272472211,-0.052138278
-0.21402846,-0.028407643,0.140040312,0.277015833,-0.342098108,-0.028243592
-0.158504044,-0.022984078,0.122234924,0.254841704,-0.277337913,-0.020504354
-0.085294951,-0.018931908,0.094187515,0.21316494,-0.179440684,-0.009911832
0.028789105,-0.00052849,0.031983628,0.105461908,-0.001757452,-0.00405632
0.113988054,-0.006531254,-0.012389373,0.037442315,0.079491689,-0.000191202
0.160967323,-0.042936258,-0.03208283,0.022012886,0.045129795,0.002899052
0.223700255,-0.078436107,-0.072634406,-0.031447435,0.019663206,-0.002357535
0.283901222,-0.123385375,-0.121330715,-0.097368906,-0.042355066,-0.015625184
0.303190818,-0.137563374,-0.134322794,-0.161489336,-0.044163214,-0.026545696
0.281912538,-0.114222407,-0.112315338,-0.232604261,0.032349882,-0.03593119
0.22299055,-0.080692126,-0.066422255,-0.298538463,0.10403933,-0.049076253
0.115306149,-0.025122117,0.014705351,-0.357874998,0.197750173,-0.064065684
-0.026880349,0.033801109,0.073480527,-0.335430194,0.205827645,-0.055804865
-0.207605752,0.093550798,0.107295926,-0.219643736,0.109992693,-0.022142202
-0.445737464,0.173795892,0.15431498,-0.043975191,-0.017119106,0.026481511
-0.742027948,0.270419007,0.201334203,0.215896528,-0.207444042,0.09735176
-0.775234613,0.279095296,0.19826974,0.3685509,-0.292178526,0.134617448
-0.518203079,0.192143706,0.143029892,0.399294336,-0.25261113,0.133852764
-0.125343871,0.055920852,0.048841157,0.422788837,-0.197270125,0.128405191
0.493085912,-0.158659548,-0.098795681,0.389836742,-0.080734665,0.103838799
0.745458339,-0.253563561,-0.152425589,0.323674709,-0.020501487,0.073405595
0.5799602,-0.212335508,-0.101523252,0.230149254,-0.032366704,0.039394575
0.358833053,-0.155625836,-0.030074306,0.055660565,-0.021367321,-0.016992168
-0.07215057,-0.032210885,0.100008305,-0.197713751,-0.017633835,-0.093327786
-0.269668077,0.028136826,0.130454165,-0.29780235,0.001531314,-0.11293624
-0.176737994,0.008160269,0.043600988,-0.234300987,0.047212858,-0.071712986
-0.135232855,0.013052666,-0.052975908,-0.119791186,0.084830349,-0.004941122
-0.030481807,0.009724007,-0.200957127,0.105290016,0.122132361,0.107725882
0.020958537,0.006945583,-0.258032764,0.179166046,0.145501486,0.15457558
-0.020863183,0.01548555,-0.203938734,0.077730945,0.148757273,0.125997133
-0.008079725,0.005061727,-0.140909104,-0.022631785,0.144315095,0.093216108
0.024296827,-0.020361174,-0.02987558,-0.188265211,0.126461516,0.02765678
0.03977434,-0.028876844,0.042629167,-0.235280481,0.111085677,0.004383015
0.054301888,-0.022945859,0.062211561,-0.134179056,0.099765643,0.034377012
0.058312884,-0.01520049,0.103293014,-0.026290916,0.079148962,0.058177885
0.048063714,0.000795267,0.142829057,0.139232952,0.052959095,0.095687347
0.054803787,0.014742719,0.146674834,0.182657194,0.040702053,0.090623519
0.077662523,0.025592959,0.118403364,0.076162851,0.042833317,0.032356233
0.09940276,0.043264154,0.055459475,-0.052597538,0.05290117,-0.036413881
0.126354341,0.065583818,-0.05102775,-0.254469603,0.076148612,-0.132239155
0.138511081,0.088169176,-0.117956012,-0.335024466,0.053008031,-0.17209492
0.1325447,0.112066194,-0.142383814,-0.268691296,-0.021451975,-0.145377074
0.122440199,0.138042987,-0.17295845,-0.191593037,-0.114232399,-0.105754512
0.102413576,0.165444833,-0.19008793,-0.050912966,-0.241230704,-0.030157026
0.050269391,0.120676176,-0.138325308,0.015644949,-0.265068836,0.01853704
-0.035802789,-0.00394794,-0.0143111,-0.013008522,-0.171635972,0.032434254
-0.150681742,-0.174472023,0.172095739,-0.026625773,-0.039556469,0.061673524
-0.301369992,-0.412474966,0.438263593,-0.062115545,0.168960222,0.090322889
-0.361198155,-0.47691378,0.50192811,-0.068749901,0.262463843,0.114475236
-0.319767304,-0.346105706,0.341327941,-0.032377307,0.221377787,0.138354548
-0.243886011,-0.153986098,0.107439753,-0.007250873,0.16987035,0.151187026
-0.099261664,0.16470195,-0.275050076,0.02165946,0.057548669,0.152443048
-0.039163458,0.312132729,-0.406352005,0.072002529,-0.003265313,0.136954554
-0.078086593,0.258265771,-0.246885466,0.139587294,0.004207073,0.101057242
-0.112731436,0.201953956,-0.052249476,0.228328111,-0.016213016,0.04583946
-0.182182924,0.065924028,0.282591543,0.34188364,-0.035641309,-0.032151857
-0.174040523,-0.001608631,0.380200575,0.360994592,-0.037028299,-0.060748066
-0.070693019,0.02498371,0.191697727,0.276378196,-0.028374394,-0.034353159
0.04255611,0.010628804,-0.015237965,0.147714239,0.004915044,0.00883225
0.196727611,-0.005905462,-0.342060016,-0.057460631,0.065894445,0.088169158
0.276004831,-0.013754531,-0.470371842,-0.154626438,0.080741141,0.115990007
0.263021153,-0.026430182,-0.352364182,-0.126977967,0.04732771,0.083846411
0.238591424,-0.018985418,-0.224078063,-0.091128231,0.004195603,0.050470743
0.170042402,0.008274772,0.002175992,0.000812168,-0.066485523,-0.006630762
0.130643071,0.014009076,0.12098592,0.030053959,-0.093146347,-0.037734448
0.131189215,0.000170187,0.097154701,-0.020281475,-0.067867274,-0.03445149
0.108284243,-0.013288845,0.102463323,-0.053303832,-0.039415187,-0.039001306
0.08062607,-0.034820539,0.080886717,-0.099811923,0.01097892,-0.038020703
0.076110337,-0.022346023,0.05546037,-0.132563348,0.005755427,-0.037521565
0.09097136,0.029336546,0.04320836,-0.139895459,-0.065690699,-0.041967837
0.126605158,0.094088744,-0.012970948,-0.159206622,-0.151075842,-0.037673828
0.189699132,0.183611099,-0.105355998,-0.181463553,-0.271977131,-0.026849825
0.157164082,0.183104039,-0.109119857,-0.185691714,-0.300882398,-0.043359366
0.02036299,0.080325574,-0.022257389,-0.174542748,-0.222782742,-0.088311957
-0.156055167,-0.060424461,0.10085469,-0.150592519,-0.11651937,-0.147312398
-0.40460983,-0.271199682,0.291161436,-0.109314657,0.053157181,-0.229120127
-0.512449482,-0.334148287,0.336144579,-0.04909598,0.135852543,-0.246515105
-0.458459954,-0.22763959,0.216405048,0.031965986,0.114747221,-0.191525236
-0.371742064,-0.083303096,0.059295892,0.137420776,0.092060107,-0.113090465
-0.195283178,0.15733332,-0.191376116,0.269379883,0.028120479,0.012381317
-0.025059788,0.237550998,-0.308257307,0.307643407,0.009465639,0.064780988
0.126293366,0.128316033,-0.265134527,0.242127242,0.050300247,0.031828437
0.354457468,0.001846239,-0.218085511,0.132274256,0.076155407,-0.008820504
0.637753699,-0.210071044,-0.106984006,-0.05519555,0.109936543,-0.088810005
0.666054177,-0.271099621,-0.020346401,-0.1485774,0.118270028,-0.107998132
0.421352735,-0.148804904,0.024397422,-0.132954297,0.090531742,-0.05288898
0.034959681,-0.01266815,0.120156915,-0.120063507,0.0606346,0.002240625
-0.577939646,0.201574356,0.244470676,-0.066225924,0.017694516,0.084100173
-0.795053043,0.289522311,0.270418991,-0.034076687,-0.007902331,0.129510475
-0.564664474,0.220700802,0.197408545,-0.035833716,-0.010203953,0.12697038
-0.259263028,0.146181535,0.06894044,-0.005321817,-0.013046042,0.128555659
0.283103793,0.009707425,-0.147510167,0.041727576,-0.007457616,0.116559066
0.500659485,-0.064115446,-0.215665876,0.073127547,0.001277199,0.107620816
0.32575446,-0.053537124,-0.117571285,0.09460859,0.011313217,0.107445145
0.162977453,-0.065423274,0.005251184,0.110287011,0.033114007,0.093228128
-0.13487015,-0.065975508,0.213310271,0.114095142,0.065633455,0.0697328
-0.254889764,-0.076770134,0.260052579,0.104675459,0.085969234,0.060430365
-0.138355987,-0.109752175,0.115705722,0.079846834,0.094019955,0.06431379
-0.055180682,-0.127241981,-0.052017482,0.034974547,0.1004218,0.073707293
0.081417325,-0.136676276,-0.309267148,-0.03232265,0.099734125,0.09405475
0.187964441,-0.097863385,-0.410229772,-0.094244124,0.089360922,0.098423817
0.232290321,-0.000879185,-0.321617596,-0.150687882,0.06891329,0.084945941
0.325430399,0.130070029,-0.215760503,-0.218421222,0.034875923,0.071150235
0.441023856,0.30909386,-0.025445905,-0.291416771,-0.014313878,0.050464855
0.362048963,0.355633177,0.093450326,-0.287469731,-0.062424737,0.037608354
0.080824647,0.252810879,0.116369345,-0.199383511,-0.109681954,0.035182685
-0.32168954,0.099563276,0.174824054,-0.061043833,-0.166020019,0.030927534
-0.903679373,-0.153591842,0.227676457,0.151520909,-0.228105162,0.028894622
-1.058552989,-0.268080296,0.23402473,0.263044691,-0.235414437,0.02104615
-0.734683368,-0.220568049,0.201987054,0.259977038,-0.182616095,0.00554339
-0.272000634,-0.168244355,0.117653636,0.248155613,-0.095634619,-0.010472429
0.491565578,-0.049280724,-0.029152158,0.182645475,0.043046708,-0.029385054
0.79988667,0.01044263,-0.090857406,0.136320539,0.104894943,-0.027990654
0.574511691,-0.009823731,-0.061607814,0.120143006,0.0796377,-0.003340141
0.315558933,0.001540283,-0.02241794,0.061147267,0.044679379,0.031662242
-0.175053693,0.011694884,0.062672989,-0.023533753,-0.033149334,0.08377469
-0.369047389,0.02837298,0.061862282,-0.053602848,-0.047034863,0.09641943
-0.188226203,0.064022156,-0.040381455,-0.031003203,0.016357345,0.064140231
-0.049790989,0.089380608,-0.151733902,0.018071913,0.078233126,0.019826184
0.187107667,0.109195911,-0.306897534,0.113148513,0.166547781,-0.051821763
0.276292357,0.100770918,-0.320681182,0.129267815,0.172018121,-0.071140417
0.159228694,0.05683484,-0.168610545,0.057261188,0.077832373,-0.029673336
0.067603939,-0.008373204,0.033250477,-0.026243804,-0.041628618,0.021499901
-0.070749723,-0.103687835,0.337307163,-0.152771104,-0.217690745,0.103605108
-0.106543551,-0.156082163,0.432476799,-0.206033169,-0.270706484,0.13771169
-0.003220481,-0.159415128,0.285170207,-0.170949179,-0.179942643,0.113850134
0.108752071,-0.157251719,0.088814809,-0.128768318,-0.057780808,0.087521562
0.275385513,-0.130478852,-0.240757933,-0.048056666,0.145028674,0.037570619
0.29041113,-0.073737723,-0.3597093,-0.011467419,0.224448335,0.020695563
0.123893999,0.012476331,-0.227894727,-0.031696198,0.15696923,0.045789367
-0.086783052,0.142481046,-0.081107536,-0.042861328,0.082205764,0.068160731
-0.400342288,0.319851273,0.171933439,-0.067179959,-0.053894333,0.103225531
-0.495692965,0.350891266,0.262494594,-0.051328579,-0.11483332,0.110723193
-0.336084759,0.221699202,0.150626551,0.015421629,-0.079275777,0.083164465
-0.124852248,0.028802262,0.04040444,0.089694181,-0.05743871,0.052330413
0.225475281,-0.280005351,-0.141194534,0.187091077,-0.012665281,0.006627503
0.366040492,-0.394727493,-0.203886436,0.201589777,0.018298068,-0.024812548
0.255429712,-0.286771374,-0.114278918,0.119491769,0.022615186,-0.037025779
0.13474661,-0.14959653,-0.023379399,0.004055219,0.047767303,-0.05378394
-0.088724195,0.097816804,0.12237385,-0.17506792,0.082691042,-0.067057779
-0.206762415,0.223401884,0.17943295,-0.232810425,0.078067668,-0.048327526
-0.185032954,0.196484302,0.122713243,-0.150302868,0.035250124,0.003476519
-0.200453695,0.196086818,0.065414916,-0.042325029,-0.031055823,0.081768589
-0.197462725,0.16171944,-0.032951907,0.14062941,-0.132919292,0.194856742
-0.16057351,0.110184467,-0.063702282,0.229253607,-0.182297515,0.225619233
-0.10459091,0.057558955,-0.008116413,0.203000886,-0.17282087,0.164939255
0.008171108,-0.053574089,0.048048375,0.184860163,-0.157083601,0.076307246
0.180051396,-0.21802095,0.135290648,0.130519286,-0.11270496,-0.071439299
0.25240436,-0.271530005,0.150215246,0.084622606,-0.076317062,-0.145523308
0.22013308,-0.20961188,0.076359882,0.060074949,-0.053398091,-0.132646201
0.162580104,-0.10817378,-0.011718345,-0.001083929,-0.007503125,-0.123187102
0.040575484,0.073881656,-0.143357896,-0.086965025,0.052740359,-0.083022498
-0.018585342,0.154080517,-0.204132686,-0.136424034,0.088647251,-0.052717165
-0.00209977,0.11597634,-0.178823806,-0.152064464,0.101294484,-0.041745619
-0.003937558,0.081895698,-0.146972242,-0.154636491,0.103020318,-0.002446765
0.007465114,0.005713475,-0.077311537,-0.130048561,0.084451811,0.05486331
0.006381112,-0.031558619,-0.035923274,-0.10032682,0.067869671,0.079063387
-0.017627528,-0.014303739,-0.033406939,-0.065646644,0.053734913,0.071952207
-0.027350064,-0.018874137,-0.011551743,-0.003046532,0.022880615,0.050583451
-0.030680034,-0.023600964,0.012475618,0.084201646,-0.020579342,0.002912284
-0.018642801,-0.021595769,0.023140776,0.109181739,-0.026628242,-0.024806244
0.015149691,-0.020507461,0.024908277,0.067519323,0.006868866,-0.029810285
0.060776982,-0.006652086,0.011658805,-0.000700168,0.058619549,-0.044721799
0.12301766,0.019947041,-0.019841951,-0.118396509,0.141880481,-0.058892071
0.130750554,0.029769359,-0.025822629,-0.154220064,0.157417063,-0.060944788
0.076889269,0.023252696,-0.005134952,-0.096670548,0.096696316,-0.052666749
-7.50E-05,0.014660398,0.018049809,-0.028461998,0.018624508,-0.031298376
-0.119968265,-0.00257822,0.054037961,0.084270886,-0.102850551,0.006108884
