1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_ALT_FU,FC_ATT_ROL,FC_ATT_PIT,FC_ATT_YAW,FC_Votage,FC_SenserTMP,FC_CTRLOUT_PWM1,FC_CTRLOUT_PWM2,FC_CTRLOUT_PWM3,FC_CTRLOUT_PWM4,
163,-23,1011,-28,5,-4,-384,-1585,-30,0,-0.810000002384186,-0.0199999995529652,6.19000005722046,54.6500015258789,0,0.349999994039536,0,0,0,0,
163,-23,1011,-28,5,-4,-384,-1585,-30,0,-0.810000002384186,-0.0199999995529652,6.19000005722046,54.6500015258789,0,0.349999994039536,0,0,0,0,
165,-44,1018,-27,6,-4,-384,-1585,-30,0,-0.810000002384186,-0.0199999995529652,6.19000005722046,54.6500015258789,0,0.349999994039536,0,0,0,0,
165,-44,1018,-27,6,-4,-384,-1585,-30,0,-0.810000002384186,-0.189999997615814,6.15999984741211,54.9900016784668,0,0.349999994039536,0,0,0,0,
150,-49,1022,-26,8,-3,-384,-1585,-30,0,-0.810000002384186,-0.189999997615814,6.15999984741211,54.9900016784668,0,0.349999994039536,0,0,0,0,
150,-49,1022,-26,8,-3,-384,-1585,-30,0,-0.810000002384186,-0.189999997615814,6.15999984741211,54.9900016784668,0,0.349999994039536,0,0,0,0,
150,-49,1022,-26,8,-3,-384,-1585,-30,0,-0.810000002384186,-0.46000000834465,6.13000011444092,55.5200004577637,0,0.349999994039536,0,0,0,0,
148,-59,1031,-25,9,-3,-384,-1585,-30,0,-0.810000002384186,-0.46000000834465,6.13000011444092,55.5200004577637,0,0.349999994039536,0,0,0,0,
148,-59,1031,-25,9,-3,-384,-1585,-30,0,-0.810000002384186,-0.730000019073486,6.07000017166138,55.6100006103516,0,0.349999994039536,0,0,0,0,
153,-71,1032,-25,11,-2,-384,-1585,-30,0,-0.810000002384186,-0.730000019073486,6.07000017166138,55.6100006103516,0,0.349999994039536,0,0,0,0,
153,-71,1032,-25,11,-2,-384,-1585,-30,0,-0.810000002384186,-0.730000019073486,6.07000017166138,55.6100006103516,0,0.349999994039536,0,0,0,0,
153,-71,1032,-25,11,-2,-384,-1585,-30,0,-0.810000002384186,-0.970000028610229,6.01000022888184,55.4000015258789,0,0.349999994039536,0,0,0,0,
151,-94,1034,-23,11,-1,-384,-1585,-30,0,-0.810000002384186,-0.970000028610229,6.01000022888184,55.4000015258789,0,0.349999994039536,0,0,0,0,
151,-94,1034,-23,11,-1,-384,-1585,-30,0,-0.810000002384186,-1.25999999046326,5.92000007629395,55.3699989318848,0,0.349999994039536,0,0,0,0,
151,-94,1034,-23,11,-1,-384,-1585,-30,0,-0.819999992847443,-1.25999999046326,5.92000007629395,55.3699989318848,0,0.349999994039536,0,0,0,0,
141,-114,1039,-22,13,-1,-384,-1585,-30,0,-0.819999992847443,-1.25999999046326,5.92000007629395,55.3699989318848,0,0.349999994039536,0,0,0,0,
